flat_id,id,building_id,floor,is_apartment,kitchen_area,living_area,rooms,studio,total_area,build_year,building_type_int,latitude,longitude,ceiling_height,flats_count,floors_total,has_elevator,target
243.0,1003,21750.0,14,0,10.0,31.0,2,0,51.0,2010,4,55.87715148925781,37.62812805175781,2.740000009536743,392,17,1,12100000
247.0,1004,23491.0,24,0,10.0,37.0,3,0,82.0,2016,4,55.6019401550293,37.366512298583984,2.640000104904175,121,25,1,17499000
250.0,1006,14707.0,7,0,0.0,44.0,3,0,73.0,1987,4,55.60464096069336,37.74747085571289,2.640000104904175,256,17,1,13300000
251.0,1007,19578.0,2,0,0.0,31.0,2,0,78.4000015258789,2005,2,55.68126678466797,37.582401275634766,2.799999952316284,107,17,1,20950000
252.0,1008,18921.0,1,0,10.5,44.0,3,0,78.30000305175781,2003,4,55.65532684326172,37.39803314208984,2.740000009536743,254,17,1,15499000
253.0,1009,22492.0,2,0,0.0,31.0,2,0,53.400001525878906,2013,4,55.7006950378418,37.92238998413086,2.740000009536743,320,17,1,9100000
254.0,1010,4397.0,5,0,5.7,17.0,1,0,30.0,1962,4,55.679080963134766,37.454322814941406,2.640000104904175,60,5,0,10000000
260.0,1013,4397.0,1,0,6.0,28.0,2,0,45.0,1962,4,55.679080963134766,37.454322814941406,2.640000104904175,60,5,0,14500000
262.0,1015,23827.0,17,0,13.800000190734863,53.0,3,0,90.6999969482422,2017,2,55.76955032348633,37.3765983581543,2.869999885559082,115,23,1,17000000
266.0,1018,23170.0,17,0,9.5,18.0,1,0,37.900001525878906,2015,4,55.60273361206055,37.367435455322266,2.740000009536743,462,17,1,7699000
268.0,1020,24018.0,11,0,7.0,32.0,2,0,42.0,2018,2,55.54268646240234,37.48511505126953,2.640000104904175,306,18,1,9200000
269.0,1021,10308.0,1,0,8.0,21.0,1,0,32.0,1973,4,55.5262451171875,37.217552185058594,2.700000047683716,78,5,0,5450000
270.0,1022,18515.0,6,0,10.0,35.0,2,0,60.0,2002,4,55.64604949951172,37.52553176879883,2.640000104904175,171,22,1,16800000
271.0,1023,3440.0,5,0,5.0,23.0,1,0,32.0,1960,4,55.71931838989258,37.66175842285156,2.640000104904175,80,5,0,8900000
272.0,1024,23490.0,1,0,11.0,32.0,2,0,58.0,2016,4,55.6019401550293,37.366512298583984,2.640000104904175,121,17,1,9950000
273.0,1025,24020.0,2,0,11.5,37.400001525878906,3,0,58.5,2018,2,55.54428863525391,37.48696517944336,2.799999952316284,399,18,1,10850000
274.0,1026,22455.0,24,0,10.100000381469728,34.79999923706055,2,0,58.400001525878906,2013,4,55.62657928466797,37.31350326538086,2.640000104904175,672,25,1,11200000
276.0,1027,4967.0,1,0,5.400000095367432,20.299999237060547,1,0,32.20000076293945,1963,4,55.67774200439453,37.553035736083984,2.640000104904175,80,5,0,8900000
278.0,1028,3682.0,5,0,7.699999809265137,50.59999847412109,3,0,72.69999694824219,1961,1,55.72523880004883,37.45939636230469,2.700000047683716,86,5,0,15500000
279.0,1029,21964.0,5,0,9.199999809265137,18.899999618530277,1,0,38.900001525878906,2011,4,55.70896530151367,37.92524337768555,2.740000009536743,260,17,1,7300000
280.0,1030,23828.0,22,0,0.0,25.0,1,0,60.0,2017,2,55.76955032348633,37.3765983581543,2.869999885559082,115,24,1,11200000
284.0,1032,10903.0,5,0,0.0,20.0,1,0,42.0,1974,4,55.83918762207031,37.58116149902344,2.5999999046325684,98,14,1,10500000
285.0,1033,23919.0,13,0,11.0,30.0,2,0,57.5,2017,4,55.59917449951172,37.36436462402344,2.700000047683716,200,17,1,12000000
286.0,1034,24332.0,18,0,14.0,32.29999923706055,2,0,60.0,2018,4,55.69880294799805,37.930912017822266,2.700000047683716,288,25,1,11200000
287.0,1035,11765.0,1,0,6.0,16.5,1,0,25.299999237060547,1976,4,55.86965560913086,37.610008239746094,2.640000104904175,178,9,1,6500000
288.0,1036,22649.0,14,0,12.0,16.0,1,0,41.400001525878906,2014,2,55.63806915283203,37.33273315429688,2.799999952316284,299,27,1,12500000
289.0,1037,23181.0,12,0,11.0,25.0,2,0,55.0,2015,4,55.603511810302734,37.37051773071289,2.740000009536743,332,17,1,11649000
290.0,1038,22290.0,5,0,9.0,20.0,1,0,39.79999923706055,2013,1,55.5674934387207,37.47872161865234,2.799999952316284,168,17,1,8500000
292.0,1039,22781.0,12,0,4.0,25.0,2,0,38.0,2014,4,55.60586166381836,37.36100387573242,2.75,283,17,1,8200000
